PostalCode,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M1B,Scarborough,"Rouge, Malvern",43.811390000000074,-79.19661999999994,7,Zoo Exhibit,Fast Food Restaurant,Trail,Hobby Shop,Elementary School,Escape Room,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.785740000000025,-79.15874999999993,1,Italian Restaurant,Burger Joint,Park,Breakfast Spot,Food,Flower Shop,Escape Room,Ethiopian Restaurant,Event Space,Food Court
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76575000000002,-79.17469999999997,6,Convenience Store,Grocery Store,Park,Gymnastics Gym,Bus Line,Supermarket,Discount Store,Restaurant,Gym / Fitness Center,Athletics & Sports
M1G,Scarborough,Woburn,43.76812000000007,-79.21760999999998,0,Indian Restaurant,Pizza Place,Park,Fast Food Restaurant,Department Store,Discount Store,Supermarket,Sandwich Place,Juice Bar,Coffee Shop
M1H,Scarborough,Cedarbrae,43.76944000000003,-79.23891999999995,6,Indian Restaurant,Bakery,Coffee Shop,Bus Line,Music Store,Fried Chicken Joint,Caribbean Restaurant,Lounge,Gas Station,Supplement Shop
M1J,Scarborough,Scarborough Village,43.74446000000007,-79.23116999999995,6,Ice Cream Shop,Fast Food Restaurant,Sandwich Place,Convenience Store,Coffee Shop,Big Box Store,Restaurant,Chinese Restaurant,Indian Restaurant,Deli / Bodega
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.725820000000056,-79.26460999999995,6,Chinese Restaurant,Coffee Shop,Convenience Store,Grocery Store,Discount Store,Sporting Goods Shop,Bus Line,Bus Station,Fast Food Restaurant,Light Rail Station
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.712890000000066,-79.28505999999999,6,Intersection,Convenience Store,Bakery,Bus Station,Pharmacy,Park,Pub,Coffee Shop,Sandwich Place,Fast Food Restaurant
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.723600000000026,-79.23495999999993,6,Ice Cream Shop,Sandwich Place,Discount Store,Pizza Place,Pharmacy,Bistro,Park,Coffee Shop,Restaurant,Elementary School
M1N,Scarborough,"Birch Cliff, Cliffside West",43.69510000000002,-79.26465999999994,5,Park,Skating Rink,General Entertainment,Ice Cream Shop,Thai Restaurant,Café,College Stadium,Gym,Dessert Shop,Diner
